MATPOWER Index,MATPOWER Generator Name,MATPOWER Type,MATPOWER Fuel,MATPOWER Capacity (MW),EIA Plant Name,Match Type,POWERWORLD Plant Name,923 Cooling Type
161,SPRINGFIELD 4 1,GT,ng,138.6,Interstate,"Location, Capacity, Fuel Type",SPRINGFIELD 4,RI
164,CHAMPAIGN 1 1,GT,ng,12.0,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
165,CHAMPAIGN 1 2,GT,ng,26.0,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
166,CHAMPAIGN 1 3,GT,ng,9.4,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
167,CHAMPAIGN 1 4,GT,ng,9.4,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
168,CHAMPAIGN 1 5,GT,ng,9.4,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
169,CHAMPAIGN 1 6,GT,ng,9.4,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
170,CHAMPAIGN 1 7,GT,ng,9.4,University of Illinois Abbott Power Plt,"Location, Capacity, Fuel Type",CHAMPAIGN 1,No Cooling System
182,SPRINGFIELD 2 1,ST,coal,17.5,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 2,OC
183,SPRINGFIELD 2 2,ST,coal,26.6,Dallman,"Location, Capacity, Fuel Type",SPRINGFIELD 2,OC
189,CLINTON 1 2,NB,nuclear,569.15,Clinton Power Station,"Location, Capacity",CLINTON 1,RC
196,GIBSON CITY 1 1,GT,ng,67.5,Gibson City Energy Center LLC,"Location, Capacity, Fuel Type",GIBSON CITY 1,RI
197,GIBSON CITY 1 2,GT,ng,67.5,Gibson City Energy Center LLC,"Location, Capacity, Fuel Type",GIBSON CITY 1,RI
