MATPOWER Index,MATPOWER Generator Name,MATPOWER Type,MATPOWER Fuel,MATPOWER Capacity (MW),EIA Plant Name,POWERWORLD Plant Name,923 Cooling Type,Ramp Rate (MW/hr),Plant Name
114,NORMAL 2 2,W2,wind,1.4,White Oak Energy LLC,NORMAL 2,No Cooling System,420.0,Plant 8
115,NORMAL 2 3,W2,wind,133.5,White Oak Energy LLC,NORMAL 2,No Cooling System,420.0,Plant 8
125,BARTONVILLE 2,ST,coal,130.05,E D Edwards,BARTONVILLE,OC,4681.8,Plant 9
126,BARTONVILLE 3,ST,coal,130.05,E D Edwards,BARTONVILLE,OC,4681.8,Plant 9
127,BARTONVILLE 4,ST,coal,130.05,E D Edwards,BARTONVILLE,OC,4681.8,Plant 9
135,PEKIN 1 2,ST,coal,446.4,Powerton,PEKIN 1,RC,16070.399999999998,Plant 10
136,PEKIN 1 3,ST,coal,446.4,Powerton,PEKIN 1,RC,16070.399999999998,Plant 10
147,HOPEDALE 2 1,W2,wind,92.4,Rail Splitter Wind Farm,HOPEDALE 2,No Cooling System,420.0,Plant 11
151,SPRINGFIELD 5 2,ST,coal,5.4,Dallman,SPRINGFIELD 5,OC,194.4,Plant 12
152,SPRINGFIELD 5 3,ST,coal,77.22,Dallman,SPRINGFIELD 5,OC,2779.92,Plant 12
153,SPRINGFIELD 5 4,ST,coal,77.22,Dallman,SPRINGFIELD 5,OC,2779.92,Plant 12
154,SPRINGFIELD 5 5,ST,coal,77.22,Dallman,SPRINGFIELD 5,OC,2779.92,Plant 12
155,SPRINGFIELD 5 6,ST,coal,77.22,Dallman,SPRINGFIELD 5,OC,2779.92,Plant 12
161,SPRINGFIELD 4 1,GT,ng,138.6,Interstate,SPRINGFIELD 4,RI,1663.1999999999998,Plant 13
164,CHAMPAIGN 1 1,GT,ng,12.0,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,144.00000000000003,Plant 14
165,CHAMPAIGN 1 2,GT,ng,26.0,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,312.0,Plant 14
166,CHAMPAIGN 1 3,GT,ng,9.4,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,112.80000000000001,Plant 14
167,CHAMPAIGN 1 4,GT,ng,9.4,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,112.80000000000001,Plant 14
168,CHAMPAIGN 1 5,GT,ng,9.4,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,112.80000000000001,Plant 14
169,CHAMPAIGN 1 6,GT,ng,9.4,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,112.80000000000001,Plant 14
170,CHAMPAIGN 1 7,GT,ng,9.4,University of Illinois Abbott Power Plt,CHAMPAIGN 1,No Cooling System,112.80000000000001,Plant 14
182,SPRINGFIELD 2 1,ST,coal,17.5,Dallman,SPRINGFIELD 2,OC,630.0,Plant 15
183,SPRINGFIELD 2 2,ST,coal,26.6,Dallman,SPRINGFIELD 2,OC,957.6,Plant 15
189,CLINTON 1 2,NB,nuclear,569.15,Clinton Power Station,CLINTON 1,RC,113.83,Plant 16
196,GIBSON CITY 1 1,GT,ng,67.5,Gibson City Energy Center LLC,GIBSON CITY 1,RI,810.0,Plant 17
197,GIBSON CITY 1 2,GT,ng,67.5,Gibson City Energy Center LLC,GIBSON CITY 1,RI,810.0,Plant 17
